24739|32984|18|18|24715|27896|68|53
28536|32116|29|29|27916|22456|13|13
28544|28573|18|13|22457|27900|23|18
25011|32117|20|15|27892|23877|54|34
28573|24739|13|13|28544|28536|58|53
32117|27916|31|16|32984|27900|47|12
22456|27892|50|15|27896|23877|66|51
24715|25011|66|31|32116|22457|13|13
24739|27916|49|34|27892|32117|32|17
32116|23877|37|37|27896|27900|40|10
22457|28573|16|16|32984|22456|15|15
28536|24715|89|74|28544|25011|23|8
32984|22457|13|13|23877|24739|77|47
32117|28544|39|24|22456|32116|13|13
27900|24715|50|45|28536|27892|95|80
25011|27896|62|47|27916|28573|20|20
27892|32984|44|29|32116|28544|33|18
27900|22456|15|15|25011|24739|13|13
22457|27896|78|28|32117|28536|95|65
23877|27916|59|44|28573|24715|44|39
