34018|27901|25|0|32985|28562|52|37
27895|28532|18|13|32926|27893|20|20
34045|21196|91|91|33001|27883|44|29
27898|28574|56|56|28532|32114|31|31
27883|27901|40|20|34018|32926|12|12
21196|32985|34|29|28574|27895|36|21
27893|28562|8|8|27898|34045|135|125
32114|27895|34|34|33001|34018|48|33
32985|34045|79|79|27898|28532|75|65
28574|33001|51|46|27901|27893|6|6
32926|28562|22|22|32114|21196|59|59
27883|27898|104|89|27895|27901|20|10
34045|32926|67|67|28574|34018|48|48
21196|27893|78|43|32114|32985|39|39
28532|33001|28|28|28562|27883|28|23
27893|27898|46|46|21196|34018|42|42
27901|32114|40|25|34045|28532|75|75
28562|28574|34|34|27883|27895|210|40
33001|32926|21|21|32985|27898|72|72
