32937|27700|5|5|26370|32965|30|15
34228|28578|29|19|20992|32113|27|17
32989|24325|119|74|31120|27701|41|6
26370|32937|15|15|20992|34228|55|5
32113|31120|25|25|27701|27700|65|15
24325|32965|58|53|28578|32989|58|53
27701|20992|80|20|32937|31120|16|16
32965|32989|43|38|26370|32113|40|40
27700|28578|36|31|34228|24325|104|94
32113|32989|76|51|20992|32937|18|13
27700|34228|61|21|32965|27701|39|29
31120|26370|25|20|24325|28578|62|52
32989|20992|55|40|32965|27700|56|41
32113|34228|52|52|31120|24325|57|57
27701|32937|46|16|28578|26370|87|57
