21007|Wallace High School - The Wallace High School
21116|MCB Robotics - &Methodist College Belfast
21194|RBAI - Home School
22706|SPC Beltel - St. Patricks College Dungannon
25416|Software Therapy - Friend's School
27917|Foyle Roboclub - Foyle Roboclub
27919|Ballymena Academy - Ballymena Academy
28533|The Resistance - Belfast High School
28564|Ctrl Freaks - Friend's School
31750|St Mary's Christian Brother Grammar - St Mary's Christian Brother Grammar
31751|Coláiste Feirste - Coláiste Feirste
32928|LoughBots
32931|Malone
32968|Friends' School Lisburn
