10939|UK024 Lakenheath HS RoboLancers  - Lakenheath High School
15469|DAVE - DOD STEM&Alconbury MHS
21206|Speedster - Trumpington Community College
21207|Cipher - Trumpington Community College
25151|Robodeers - Hinchingbrooke School
25436|Team Bob! - Comberton Village College
26587|Triple Six - Family/Community
27904|CamCare - CamCare UK
28309|TAZAR - Trumpington Community College
28434|Breakspear Nautilus - Nicholas Breakspear Catholic School
28435|CMS Crabs - Cambridge Maths School
30630|Mr. Krabs - Alconbury Middle High School
33009|CMS Clankers
