20992|Berkeley Robotics - Raytheon UK & SGS Berkeley Green UTC
24325|BarrelBots - The King's School, Ottery St Mary
26370|Llanishen High School - RTX&Llanishen High School
27700|CTRL+ALT+DEFEAT - John Masefield High School
27701|Enigma Phoenix - John Masefield High School
28578|Botonauts - St John's Marlborough
31120|Churchdown School
32113|Prior Park College - Prior Park
32937|Autobots Assemble
32965|OSB Robots
32989|Exeter Bits and Bots Incorporated - Exeter College
34228|Frome Community College
