22593|Drakon - Harris Academy Sutton 
24720|Ladywell Robotics - Prendergast Ladywell School
25056|APEX FUSION - Harris Academy Sutton 
27882|Cassiopeia - Nonsuch High School for Girls
27903|Glyn Titans - Glyn School
28372|CYCLOPS - Harris Academy Sutton
28539|Delphinus - Nonsuch High School for Girls
28540|Alpha - St Philomena's Catholic High School for Girls
28571|Equuleus - Nonsuch High School for Girls
28576|Bolts n Roses - Rosebery School
28579|Omega - St Philomena's Catholic High School for Girls
32930|City of London School
32981|KCLMS
